warning: only one CPU, which may conceal locking bugs
015868 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
015868 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
015870 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
016378 TIMR S1 Leader, checking heartbeats
016382 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
016383 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
016384 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
016385 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
016385 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
016385 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
016945 TIMR S1 Leader, checking heartbeats
016948 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
016948 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
016949 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
016950 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
016950 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
016951 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
017466 TIMR S1 Leader, checking heartbeats
017469 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
017469 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
017470 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
017471 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
017471 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
017472 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
018005 TIMR S1 Leader, checking heartbeats
018009 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
018009 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
018010 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
018011 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
018011 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
018012 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
018532 TIMR S1 Leader, checking heartbeats
018538 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
018538 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
018540 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
018541 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
018541 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
018541 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
019069 TIMR S1 Leader, checking heartbeats
019071 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
019071 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
019072 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
019074 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
019074 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
019075 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
019581 TIMR S1 Leader, checking heartbeats
019585 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
019585 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
019587 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
019588 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
019588 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
019589 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
020110 TIMR S1 Leader, checking heartbeats
020112 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
020113 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
020113 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
020115 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
020115 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
020116 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
020658 TIMR S1 Leader, checking heartbeats
020662 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
020662 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
020663 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
020665 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
